_id,date,center_name,attendance_count
48828403,2025-08-11,Magee Community Center,25
48828404,2025-08-11,West Penn Community Center,62
48828405,2025-08-09,Warrington Community Center,12
48828406,2025-08-09,Magee Community Center,12
48828407,2025-08-09,West Penn Community Center,56
48828408,2025-08-08,Brookline Community Center,18
48828409,2025-08-08,Ormsby Community Center,11
48828410,2025-08-08,Paulson Community Center,11
48828411,2025-08-08,Phillips Community Center,2
48828412,2025-08-08,Warrington Community Center,24
48828413,2025-08-08,Magee Community Center,6
48828414,2025-08-08,West Penn Community Center,29
48828415,2025-08-07,Brookline Community Center,37
48828416,2025-08-07,Ormsby Community Center,18
48828417,2025-08-07,Phillips Community Center,2
48828418,2025-08-07,Paulson Community Center,9
48828419,2025-08-07,Warrington Community Center,22
48828420,2025-08-07,Magee Community Center,10
48828421,2025-08-07,West Penn Community Center,57
48828422,2025-08-06,Brookline Community Center,29
48828423,2025-08-06,Ormsby Community Center,14
48828424,2025-08-06,Paulson Community Center,4
48828425,2025-08-06,Phillips Community Center,4
48828426,2025-08-06,Warrington Community Center,39
48828427,2025-08-06,Magee Community Center,16
48828428,2025-08-06,Jefferson Community Center,28
48828429,2025-08-06,West Penn Community Center,93
48828430,2025-08-05,Brookline Community Center,40
48828431,2025-08-05,Ormsby Community Center,15
48828432,2025-08-05,Phillips Community Center,2
48828433,2025-08-05,Warrington Community Center,10
48828434,2025-08-05,Magee Community Center,7
48828435,2025-08-05,West Penn Community Center,22
48828436,2025-08-04,Brookline Community Center,19
48828437,2025-08-04,Ormsby Community Center,25
48828438,2025-08-04,Phillips Community Center,11
48828439,2025-08-04,Paulson Community Center,14
48828440,2025-08-04,Warrington Community Center,31
48828441,2025-08-04,Magee Community Center,15
48828442,2025-08-04,Jefferson Community Center,17
48828443,2025-08-04,West Penn Community Center,71
48828444,2025-08-02,Brookline Community Center,12
48828445,2025-08-02,Ormsby Community Center,6
48828446,2025-08-02,Warrington Community Center,7
48828447,2025-08-02,Magee Community Center,1
48828448,2025-08-02,West Penn Community Center,94
48828449,2025-08-01,Brookline Community Center,39
48828450,2025-08-01,Ormsby Community Center,14
48828451,2025-08-01,Paulson Community Center,1
48828452,2025-08-01,Phillips Community Center,6
